EmployeeID,HireDate,Department,JobTitle,Country,WorkStyle,AnnualSalary,PerformanceRating,IsManager
EMP-2001,2019-10-24,Marketing,Marketing Specialist,Germany,Remote,110000,4.1,No
EMP-2002,2019-12-19,Marketing,Marketing Specialist,India,Hybrid,145000,3.0,No
EMP-2003,2019-08-31,Engineering,Software Engineer,Germany,Remote,62000,3.9,No
EMP-2004,2023-06-13,Sales,SDR,United States,Remote,58000,3.9,No
EMP-2005,2020-08-13,Engineering,Engineering Manager,Germany,Remote,71000,3.2,Yes
EMP-2006,2021-01-10,Finance,Accountant,United States,On-site,145000,4.5,No
EMP-2007,2019-09-15,Finance,Financial Analyst,Germany,Remote,95000,2.7,No
EMP-2008,2023-10-18,Finance,Financial Analyst,Canada,Hybrid,125000,4.2,No
EMP-2009,2021-01-06,Finance,Accountant,United Kingdom,Remote,95000,3.2,No
EMP-2010,2022-11-07,Finance,Accountant,India,Hybrid,145000,3.7,No
EMP-2011,2020-11-06,Finance,Financial Analyst,Canada,Remote,62000,3.8,No
EMP-2012,2019-11-14,Customer Support,Support Lead,Germany,On-site,58000,4.9,Yes
EMP-2013,2024-02-12,Marketing,Content Manager,United States,Remote,95000,4.0,Yes
EMP-2014,2022-06-22,Marketing,Content Manager,Germany,On-site,62000,2.7,Yes
EMP-2015,2022-11-22,Customer Support,Support Lead,United States,Hybrid,110000,4.7,Yes
EMP-2016,2021-06-12,Marketing,Marketing Specialist,Canada,Remote,62000,3.7,No
EMP-2017,2024-07-26,HR,HR Generalist,United States,Remote,110000,3.5,No
EMP-2018,2020-07-14,Customer Support,Support Lead,India,On-site,145000,3.2,Yes
EMP-2019,2023-04-08,Marketing,Content Manager,United Kingdom,Remote,95000,4.2,Yes
EMP-2020,2021-08-13,Engineering,Software Engineer,United States,Hybrid,71000,3.1,No
EMP-2021,2020-08-19,Finance,Financial Analyst,India,On-site,85000,3.2,No
EMP-2022,2019-08-10,Marketing,Content Manager,India,On-site,71000,4.2,Yes
EMP-2023,2020-02-29,Finance,Accountant,India,On-site,110000,3.5,No
EMP-2024,2021-05-05,Customer Support,Support Agent,India,Remote,78000,2.7,No
EMP-2025,2020-09-11,Engineering,Senior Engineer,Germany,Remote,58000,2.8,No
EMP-2026,2023-03-22,Marketing,Marketing Specialist,United Kingdom,On-site,62000,4.7,No
EMP-2027,2020-04-17,Marketing,Content Manager,India,Hybrid,95000,3.7,Yes
EMP-2028,2020-02-23,Customer Support,Support Lead,Canada,On-site,85000,2.7,Yes
EMP-2029,2021-04-20,Marketing,Content Manager,Germany,Hybrid,71000,3.8,Yes
EMP-2030,2022-05-05,Sales,SDR,United States,On-site,145000,4.8,No
EMP-2031,2021-07-01,Marketing,Content Manager,Germany,On-site,71000,3.4,Yes
EMP-2032,2021-03-10,Finance,Accountant,United Kingdom,Hybrid,78000,4.0,No
EMP-2033,2022-12-27,HR,HR Generalist,United States,Remote,78000,3.8,No
EMP-2034,2022-11-11,Marketing,Content Manager,India,On-site,85000,3.0,Yes
EMP-2035,2021-07-18,Marketing,Content Manager,India,Remote,62000,3.1,Yes
EMP-2036,2019-01-08,Marketing,Marketing Specialist,India,On-site,125000,4.1,No
EMP-2037,2021-03-27,Marketing,Marketing Specialist,India,Remote,62000,4.8,No
EMP-2038,2023-06-10,Customer Support,Support Lead,India,Hybrid,62000,4.5,Yes
EMP-2039,2020-06-04,HR,HR Generalist,United States,Remote,71000,2.9,No
EMP-2040,2024-04-26,Finance,Accountant,Canada,Remote,71000,4.0,No
