OrderID,OrderDate,Region,Category,Product,Channel,Quantity,UnitPrice,Revenue,Status
ORD-20000,2024-01-15,West,Office Supplies,Desk Organizer,Online,3,89.99,269.97,Cancelled
ORD-20001,2024-01-11,West,Electronics,USB-C Hub,In-Store,2,34.99,69.98,Completed
ORD-20002,2024-01-07,North,Electronics,USB-C Hub,In-Store,3,89.99,269.97,Completed
ORD-20003,2024-01-15,North,Electronics,Laptop Stand,In-Store,1,129.99,129.99,Completed
ORD-20004,2024-01-26,East,Electronics,Bluetooth Speaker,In-Store,2,129.99,259.98,Completed
ORD-20005,2024-01-28,East,Office Supplies,Sticky Notes,In-Store,2,9.99,19.98,Completed
ORD-20006,2024-01-01,East,Office Supplies,Pen Set,In-Store,2,89.99,179.98,Cancelled
ORD-20007,2024-01-25,South,Office Supplies,Notebook Pack,Online,2,14.99,29.98,Pending
ORD-20008,2024-01-06,West,Office Supplies,Pen Set,In-Store,3,249.99,749.97,Cancelled
ORD-20009,2024-01-31,East,Electronics,USB-C Hub,Online,5,9.99,49.95,Completed
ORD-20010,2024-01-27,South,Electronics,Bluetooth Speaker,Online,5,249.99,1249.95,Cancelled
ORD-20011,2024-01-30,East,Office Supplies,Sticky Notes,Online,1,19.99,19.99,Cancelled
ORD-20012,2024-01-11,North,Office Supplies,Desk Organizer,In-Store,1,49.99,49.99,Completed
ORD-20013,2024-01-22,South,Electronics,Bluetooth Speaker,In-Store,1,49.99,49.99,Completed
ORD-20014,2024-01-04,North,Electronics,USB-C Hub,Phone Order,1,129.99,129.99,Completed
ORD-20015,2024-01-01,South,Electronics,Bluetooth Speaker,Phone Order,1,9.99,9.99,Pending
ORD-20016,2024-01-08,East,Furniture,Standing Desk,In-Store,1,89.99,89.99,Pending
ORD-20017,2024-01-12,North,Office Supplies,Pen Set,Phone Order,1,49.99,49.99,Completed
ORD-20018,2024-01-17,South,Furniture,Standing Desk,Online,5,34.99,174.95,Completed
ORD-20019,2024-01-01,North,Electronics,Wireless Mouse,In-Store,1,89.99,89.99,Completed
ORD-20020,2024-01-05,South,Office Supplies,Pen Set,In-Store,5,34.99,174.95,Cancelled
ORD-20021,2024-01-08,East,Office Supplies,Pen Set,In-Store,5,49.99,249.95,Completed
ORD-20022,2024-01-19,East,Office Supplies,Pen Set,In-Store,1,9.99,9.99,Pending
ORD-20023,2024-01-31,North,Office Supplies,Notebook Pack,Online,5,34.99,174.95,Pending
ORD-20024,2024-01-14,West,Furniture,Bookshelf,In-Store,1,9.99,9.99,Completed
ORD-20025,2024-01-02,South,Office Supplies,Desk Organizer,Phone Order,5,9.99,49.95,Completed
ORD-20026,2024-01-11,East,Office Supplies,Notebook Pack,Phone Order,3,249.99,749.97,Completed
ORD-20027,2024-01-12,North,Electronics,Laptop Stand,Online,1,34.99,34.99,Cancelled
ORD-20028,2024-01-06,East,Electronics,USB-C Hub,Phone Order,5,19.99,99.95,Cancelled
ORD-20029,2024-01-29,South,Office Supplies,Desk Organizer,Phone Order,1,34.99,34.99,Cancelled
ORD-20030,2024-01-29,South,Furniture,Office Chair,Phone Order,1,89.99,89.99,Completed
ORD-20031,2024-01-02,West,Office Supplies,Sticky Notes,In-Store,1,14.99,14.99,Cancelled
ORD-20032,2024-01-23,West,Office Supplies,Notebook Pack,Online,2,19.99,39.98,Completed
ORD-20033,2024-01-08,West,Electronics,Wireless Mouse,Online,2,49.99,99.98,Pending
ORD-20034,2024-01-23,North,Office Supplies,Sticky Notes,Online,5,89.99,449.95,Completed
ORD-20035,2024-01-05,South,Electronics,USB-C Hub,Phone Order,1,129.99,129.99,Completed
ORD-20036,2024-01-25,West,Office Supplies,Sticky Notes,Online,2,9.99,19.98,Completed
ORD-20037,2024-01-25,North,Office Supplies,Desk Organizer,In-Store,2,9.99,19.98,Completed
ORD-20038,2024-01-28,East,Electronics,Bluetooth Speaker,Online,2,49.99,99.98,Pending
ORD-20039,2024-01-16,North,Office Supplies,Notebook Pack,Online,1,89.99,89.99,Pending
ORD-20040,2024-01-16,North,Electronics,Wireless Mouse,In-Store,2,19.99,39.98,Completed
ORD-20041,2024-01-09,North,Furniture,Office Chair,In-Store,5,249.99,1249.95,Completed
ORD-20042,2024-01-17,West,Office Supplies,Pen Set,Phone Order,1,19.99,19.99,Pending
ORD-20043,2024-01-02,North,Electronics,USB-C Hub,Phone Order,3,9.99,29.97,Completed
ORD-20044,2024-01-15,East,Office Supplies,Notebook Pack,Phone Order,2,49.99,99.98,Completed
