OrderID,OrderDate,Region,Category,Product,Channel,Quantity,UnitPrice,Revenue,Status
ORD-10001,2024-05-05,South,Furniture,Office Chair,Online,1,49.99,49.99,Completed
ORD-10002,2024-08-04,North,Furniture,Bookshelf,Online,3,14.99,44.97,Completed
ORD-10003,2024-04-11,West,Electronics,USB-C Hub,Online,3,9.99,29.97,Pending
ORD-10004,2024-08-04,East,Furniture,Standing Desk,In-Store,1,19.99,19.99,Completed
ORD-10005,2024-07-13,North,Electronics,Bluetooth Speaker,In-Store,1,14.99,14.99,Completed
ORD-10006,2024-03-04,West,Furniture,Standing Desk,Online,1,249.99,249.99,Cancelled
ORD-10007,2024-02-05,North,Office Supplies,Pen Set,Phone Order,3,34.99,104.97,Completed
ORD-10008,2024-07-13,East,Office Supplies,Notebook Pack,In-Store,1,14.99,14.99,Completed
ORD-10009,2024-05-16,North,Electronics,Bluetooth Speaker,Phone Order,2,34.99,69.98,Completed
ORD-10010,2024-08-24,West,Furniture,Bookshelf,In-Store,1,19.99,19.99,Cancelled
ORD-10011,2024-01-17,East,Electronics,Bluetooth Speaker,In-Store,1,34.99,34.99,Completed
ORD-10012,2024-04-18,West,Electronics,USB-C Hub,In-Store,3,89.99,269.97,Pending
ORD-10013,2024-05-14,West,Electronics,Bluetooth Speaker,Phone Order,1,34.99,34.99,Pending
ORD-10014,2024-02-16,North,Office Supplies,Desk Organizer,Online,1,249.99,249.99,Completed
ORD-10015,2024-02-02,West,Furniture,Office Chair,In-Store,5,129.99,649.95,Cancelled
ORD-10016,2024-02-28,East,Office Supplies,Pen Set,Phone Order,3,9.99,29.97,Completed
ORD-10017,2024-08-20,North,Electronics,Bluetooth Speaker,Phone Order,2,19.99,39.98,Completed
ORD-10018,2024-06-01,South,Furniture,Office Chair,Online,3,14.99,44.97,Completed
ORD-10019,2024-09-07,North,Electronics,Wireless Mouse,Online,3,89.99,269.97,Completed
ORD-10020,2024-02-10,North,Office Supplies,Desk Organizer,Phone Order,1,34.99,34.99,Pending
ORD-10021,2024-03-25,East,Electronics,USB-C Hub,Phone Order,1,249.99,249.99,Cancelled
ORD-10022,2024-06-08,West,Office Supplies,Desk Organizer,Phone Order,3,34.99,104.97,Completed
ORD-10023,2024-04-25,North,Office Supplies,Sticky Notes,In-Store,1,34.99,34.99,Completed
ORD-10024,2024-01-04,North,Furniture,Bookshelf,Phone Order,1,34.99,34.99,Completed
ORD-10025,2024-02-06,South,Electronics,Wireless Mouse,In-Store,1,89.99,89.99,Pending
ORD-10026,2024-05-04,West,Electronics,USB-C Hub,In-Store,5,249.99,1249.95,Completed
ORD-10027,2024-06-30,West,Electronics,Wireless Mouse,In-Store,5,129.99,649.95,Pending
ORD-10028,2024-02-01,West,Furniture,Office Chair,Phone Order,5,14.99,74.95,Completed
ORD-10029,2024-08-17,South,Electronics,USB-C Hub,In-Store,1,34.99,34.99,Completed
ORD-10030,2024-08-14,North,Office Supplies,Sticky Notes,Online,1,14.99,14.99,Cancelled
ORD-10031,2024-07-27,West,Electronics,Wireless Mouse,In-Store,1,19.99,19.99,Completed
ORD-10032,2024-01-02,West,Office Supplies,Notebook Pack,In-Store,1,129.99,129.99,Pending
ORD-10033,2024-03-20,South,Office Supplies,Sticky Notes,In-Store,5,249.99,1249.95,Completed
ORD-10034,2024-01-30,North,Electronics,Wireless Mouse,Phone Order,5,89.99,449.95,Pending
ORD-10035,2024-09-17,North,Furniture,Bookshelf,Online,1,9.99,9.99,Completed
ORD-10036,2024-07-25,North,Furniture,Office Chair,Phone Order,5,34.99,174.95,Completed
ORD-10037,2024-08-02,East,Furniture,Bookshelf,In-Store,1,14.99,14.99,Completed
ORD-10038,2024-05-15,West,Furniture,Bookshelf,Online,2,34.99,69.98,Completed
ORD-10039,2024-08-22,North,Office Supplies,Pen Set,Online,1,9.99,9.99,Cancelled
ORD-10040,2024-02-05,South,Electronics,Bluetooth Speaker,In-Store,1,89.99,89.99,Completed
ORD-10041,2024-01-05,East,Electronics,Laptop Stand,Phone Order,3,49.99,149.97,Completed
ORD-10042,2024-03-20,East,Electronics,Bluetooth Speaker,In-Store,1,14.99,14.99,Cancelled
ORD-10043,2024-09-15,West,Electronics,Bluetooth Speaker,In-Store,1,49.99,49.99,Completed
ORD-10044,2024-01-02,East,Electronics,Laptop Stand,Online,2,9.99,19.98,Completed
