OrderID,OrderDate,Region,Product,Quantity,UnitPrice,Revenue
ORD-9001,2024-02-01,North,Wireless Mouse,2,14.99,29.98
ORD-9002,2024-02-02,South,USB-C Hub,1,19.99,19.99
ORD-9003,2024-02-03,,Bluetooth Speaker,1,34.99,34.99
ORD-9004,2024-02-04,East,Laptop Stand,,24.99,24.99
ORD-9005,2024-02-05,West,Notebook Pack,3,9.99,29.97
ORD-9006,2024-02-06,North,Desk Organizer,2,,25.98
ORD-9007,2024-02-07,South,Pen Set,1,12.99,12.99
ORD-9008,,East,Sticky Notes,4,4.99,19.96
ORD-9009,2024-02-09,West,Office Chair,1,189.99,189.99
ORD-9010,2024-02-10,North,Standing Desk,1,299.99,299.99
